Index,p_t,q_t,cluster_safety_t,q_cluster_t,Action,Y_t,Success,FP,FN,Misclassified,SSM decision,Weakest Link decision
1221,0.3275948166847229,6.079699013520192e-09,0.6522486620158064,8.860895712353907e-07,OFFLOADED,1.0,No,0.0,1.0,1.0,False,False
1222,0.35366007685661316,1.3409527426819474e-07,0.4705864622172995,1.7489440548593264e-12,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1223,0.2870723605155945,1.470629231310814e-13,0.4579459699523357,6.324465136952796e-13,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1224,0.6827267408370972,0.3046403215804516,0.6290588361999757,1.5824553806643594e-07,OFFLOADED,0.0,Yes,0.0,0.0,0.0,False,False
1225,0.688244640827179,0.33885563399470475,0.6055648957449535,4.2409499671740964e-08,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1226,0.3640443980693817,4.5101180357923526e-07,0.7731623790646561,0.00198826209081387,OFFLOADED,0.0,Yes,0.0,0.0,0.0,False,False
1227,0.5280851721763611,0.007252111538774558,0.6194316647692106,1.0162301144302401e-07,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1228,0.25320857763290405,1.1106938775034024e-20,0.23564308003143147,3.253542412064522e-19,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1229,0.8745678067207336,0.9682769766091472,0.935185798655289,0.7203009677289355,ACCEPTED,0.0,Yes,0.0,0.0,0.0,True,True
1230,0.25399133563041687,1.317800977617227e-20,0.28569476485435746,2.3913153458067194e-18,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1231,0.4292495548725128,0.00010546968757985746,0.7902656209732486,0.005911669123816032,OFFLOADED,1.0,No,0.0,1.0,1.0,False,False
1232,0.8363739252090454,0.8919992784858338,0.7184169356508178,0.00010355236465548608,OFFLOADED,0.0,Yes,0.0,0.0,0.0,True,False
1233,0.5550483465194702,0.017930703170030555,0.4969640290674782,1.3987217056475349e-11,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1234,0.25191277265548706,7.56793088979644e-21,0.24791638733675167,4.14262950331353e-19,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1235,0.2517950236797333,7.094658349222023e-21,0.41435374327862895,2.0023794731377246e-14,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1236,0.7418582439422607,0.5388360613191433,0.621770046639125,1.1081278010819632e-07,OFFLOADED,1.0,No,1.0,1.0,1.0,True,False
1237,0.39758217334747314,8.841696652850315e-06,0.29237530590358396,2.541308513302086e-18,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1238,0.3172467350959778,6.829153792453811e-10,0.8155713973366916,0.021895416097582106,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1239,0.3300645649433136,6.965500350745293e-09,0.6884895273257733,1.421872494065907e-05,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1240,0.25355419516563416,7.161697475535825e-21,0.2723963001865693,8.177516701052797e-19,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1241,0.3701387941837311,7.407433712114144e-07,0.6598008284583118,1.3939359386298313e-06,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1242,0.2739740312099457,6.749929314845845e-16,0.7448462080409016,0.0004765768310030585,OFFLOADED,0.0,Yes,0.0,0.0,0.0,False,False
1243,0.5437548160552979,0.011535981856060527,0.44315240977492065,1.3811879910353363e-13,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1244,0.464761883020401,0.0005857030574300771,0.5126736640173339,3.807256571497029e-11,OFFLOADED,1.0,No,1.0,1.0,0.0,False,False
1245,0.6616267561912537,0.22521222717679168,0.6047322545113495,3.242864912099495e-08,OFFLOADED,1.0,No,1.0,1.0,1.0,True,False
1246,0.32656535506248474,2.7458841430478676e-09,0.44720144034753745,1.6906056731003932e-13,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1247,0.3700179159641266,5.863479499796117e-07,0.12477797353999166,2.3751855486495747e-20,OFFLOADED,1.0,No,1.0,1.0,0.0,False,False
1248,0.2828425467014313,1.4627072045275955e-14,0.7369440621443898,0.0003361531232828335,OFFLOADED,0.0,Yes,0.0,0.0,0.0,False,False
1249,0.3150351643562317,2.8954035248088456e-10,0.6713192931414612,3.942653973689479e-06,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1250,0.2550799250602722,1.0592457299665784e-20,0.4995459368511336,1.2196020798581792e-11,OFFLOADED,1.0,No,1.0,1.0,0.0,False,False
1251,0.3932732343673706,5.080960952679862e-06,0.46645439493023955,7.629030689660394e-13,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1252,0.7214252352714539,0.4302668830496671,0.8838634920552891,0.3089005990898743,OFFLOADED,0.0,Yes,0.0,0.0,0.0,True,False
1253,0.27984386682510376,4.224939895451083e-15,0.22226098478712522,8.82132740817076e-20,OFFLOADED,1.0,No,1.0,1.0,0.0,False,False
1254,0.6811183094978333,0.29146602958932016,0.7242224493652925,0.00017130489441379257,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1255,0.2950473427772522,1.5661604467765013e-12,0.6748173406853921,5.135595685506476e-06,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1256,0.31653285026550293,3.4352085344292675e-10,0.9470289348740869,0.805684278595496,OFFLOADED,1.0,No,1.0,1.0,1.0,False,True
1257,0.35762086510658264,1.1886381734382482e-07,0.7734919387479046,0.00204322144555957,OFFLOADED,1.0,No,1.0,1.0,0.0,False,False
