Index,p_t,q_t,Action,Y_t,Success,FP,FN,Misclassified
4239,0.0,0.0,OFFLOADED,0.0,Yes,0.0,0.0,0.0
4240,0.3407757580280304,2.6060467348676897e-20,OFFLOADED,1.0,No,1.0,1.0,1.0
4241,0.7051140666007996,0.4842912639140327,ACCEPTED,1.0,No,1.0,1.0,1.0
4242,0.35280707478523254,1.2425179948673746e-18,OFFLOADED,1.0,No,1.0,1.0,1.0
4243,0.3003215789794922,6.426389940328924e-32,OFFLOADED,1.0,No,1.0,1.0,1.0
4244,0.41922488808631897,8.21057654403997e-11,OFFLOADED,0.0,Yes,0.0,0.0,0.0
4245,0.3011537194252014,1.5912914505310562e-31,OFFLOADED,1.0,No,1.0,1.0,0.0
4246,0.32245126366615295,1.6444392101776773e-24,OFFLOADED,1.0,No,1.0,0.0,0.0
4247,0.3076130449771881,4.4712133882641166e-29,OFFLOADED,1.0,No,1.0,1.0,1.0
4248,0.2697739005088806,1.756202772579811e-48,OFFLOADED,1.0,No,1.0,1.0,1.0
4249,0.252070814371109,3.892977305506116e-67,OFFLOADED,1.0,No,1.0,1.0,1.0
4250,0.2535434663295746,4.38486822340849e-65,OFFLOADED,1.0,No,1.0,1.0,1.0
4251,0.30531150102615356,6.7635077265804e-30,OFFLOADED,1.0,No,1.0,1.0,0.0
4252,0.29327917098999023,5.669907976806093e-35,OFFLOADED,1.0,No,1.0,1.0,1.0
4253,0.9396465420722961,0.9999881087738458,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4254,0.8298201560974121,0.9604697958035867,ACCEPTED,1.0,No,1.0,1.0,1.0
4255,0.31112396717071533,7.268146881494159e-28,OFFLOADED,1.0,No,1.0,1.0,0.0
4256,0.8628454804420471,0.994749654094979,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4257,0.8246129751205444,0.9491908543263752,ACCEPTED,1.0,No,1.0,1.0,1.0
4258,0.2659200429916382,1.4677453091116346e-51,OFFLOADED,1.0,No,1.0,1.0,1.0
4259,0.3270288109779358,3.7154280103893454e-23,OFFLOADED,1.0,No,1.0,1.0,1.0
4260,0.25455284118652344,3.880404961320407e-64,OFFLOADED,1.0,No,1.0,1.0,1.0
4261,0.27777403593063354,2.160849845647218e-43,OFFLOADED,1.0,No,1.0,1.0,1.0
