Index,p_t,q_t,cluster_safety_t,q_cluster_t,Action,Y_t,Success,FP,FN,Misclassified,SSM decision,Weakest Link decision
2719,0.31852543354034424,1.1707331680481624e-17,0.3930614522386064,5.366652141586165e-21,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2720,0.2645888030529022,3.50569656557575e-35,0.5642206809510313,9.584373680424979e-10,OFFLOADED,1.0,No,0.0,1.0,1.0,False,False
2721,0.8647140264511108,0.9956065158733861,0.31016848732415064,9.475590606679536e-27,OFFLOADED,1.0,No,1.0,1.0,1.0,True,False
2722,0.5291498899459839,0.0006114431330577048,0.8466618203046504,0.6850656315403663,OFFLOADED,1.0,No,1.0,0.0,1.0,False,True
2723,0.2605379521846771,1.6868834524170012e-37,0.4935015236039683,1.1069885076072092e-14,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2724,0.29822269082069397,1.1034521415765144e-22,0.47466444291581755,6.824116353541824e-16,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2725,0.5707027316093445,0.004947380338541641,0.7851534487249452,0.11724633129357533,OFFLOADED,1.0,No,1.0,1.0,1.0,False,True
2726,0.2906029224395752,7.529293281795661e-25,0.4669921423358178,1.7211718845572632e-16,OFFLOADED,1.0,No,1.0,0.0,0.0,False,False
2727,0.2663857340812683,1.6511402754129523e-34,0.37847601526884855,3.702164302974059e-22,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2728,0.38055866956710815,7.051172996479478e-11,0.5826451856027998,9.805273385733846e-09,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2729,0.9127103090286255,0.999712892454986,0.9763994050835647,0.9999995766261844,ACCEPTED,1.0,No,1.0,1.0,0.0,True,True
2730,0.9204317927360535,0.9997642408640262,1.0,1.0,ACCEPTED,0.0,Yes,0.0,0.0,0.0,True,True
2731,0.7353551387786865,0.6581072948895581,0.9900670525723393,0.9999999728772763,ACCEPTED,0.0,Yes,0.0,0.0,0.0,True,True
2732,0.33123475313186646,1.7731439039870483e-15,0.8447406569398481,0.6742164882297734,OFFLOADED,0.0,Yes,0.0,0.0,0.0,False,True
